업종명,전일대비(%)
은행,+4.78
전자제품,+2.31
디스플레이장비및부품,+1.64
판매업체,+1.27
양방향미디어와서비스,+1.16
화학,+0.82
핸드셋,+0.76
전기제품,+0.67
레저용장비와제품,+0.53
식품과기본식료품소매,+0.44
다각화된통신서비스,+0.25
게임엔터테인먼트,+0.25
IT서비스,+0.11
부동산,+0.03
생명보험,+0.02
운송인프라,+0.02
기타금융,+0.02
복합유틸리티,0.00
무역회사와판매업체,-0.01
전자장비와기기,-0.01
반도체와반도체장비,-0.11
종이와목재,-0.16
자동차,-0.16
가스유틸리티,-0.19
기타,-0.25
출판,-0.29
카드,-0.29
백화점과일반상점,-0.33
증권,-0.39
건축자재,-0.46
전문소매,-0.50
방송과엔터테인먼트,-0.54
창업투자,-0.54
담배,-0.60
식품,-0.62
통신장비,-0.64
인터넷과카탈로그소매,-0.66
건강관리기술,-0.66
포장재,-0.74
에너지장비및서비스,-0.76
자동차부품,-0.80
건강관리장비와용품,-0.89
화장품,-0.89
무선통신서비스,-0.89
해운사,-0.90
비철금속,-0.91
소프트웨어,-0.92
상업서비스와공급품,-0.95
"호텔,레스토랑,레저",-0.97
석유와가스,-0.97
"섬유,의류,신발,호화품",-1.00
디스플레이패널,-1.08
사무용전자제품,-1.08
항공사,-1.12
복합기업,-1.14
전기유틸리티,-1.15
철강,-1.18
손해보험,-1.20
문구류,-1.22
우주항공과국방,-1.23
음료,-1.27
컴퓨터와주변기기,-1.33
건설,-1.34
독립전력생산및에너지거래,-1.35
광고,-1.37
생명과학도구및서비스,-1.44
교육서비스,-1.49
가구,-1.54
생물공학,-1.66
기계,-1.72
가정용품,-1.73
제약,-1.84
전기장비,-1.97
조선,-2.05
항공화물운송과물류,-2.05
건강관리업체및서비스,-2.11
건축제품,-2.18
도로와철도운송,-3.53
가정용기기와용품,-4.10
